userName,content,score,time
syifa darmawan,apk towwlowlll beadjingan kayak lowentew kowntol mewmeak pass mau login tuh guys gj banget uda masukin gmail tuh uda tapi kok ga bisa tetep aan login nya kya apk ini tuh cuman buatt ngasi gmail doang ga ada kya vido kyk towlowl lah beangseaattt,1,10/14/2025 19:30
Papsky TV,Terbaik. Sediakan pembayaran via potong pulsa dong. boikot gasih.,4,10/14/2025 19:06
Felycia Yenni liemowa,𝖺𝗀𝖺𝗄𝗍𝗂𝖽𝖺𝗄𝖻𝖺𝗀𝗎𝗌,3,10/14/2025 18:13
yayat novita,"aplikasi jelek , film tidak lengkap , sedikit sedikit harus upgrade berbayar gak bagus buat di bayar dan di download",1,10/14/2025 15:33
Adam levine,Krn mau beli paket dulu biar bisa liat video,1,10/14/2025 15:29
ini ano,makin lama makin aneh makin mahal makin gajelas kalau ada eps baru tbtb ilang2 sendiri njirla,1,10/14/2025 10:06
Dewi Anita,"ne s s s. ,,$___@s",4,10/14/2025 6:27
Meilan MELODY J,"tidak bisa nonton di TV, Tidak bisa juga pakai pencerminan pintar dari hape ke TV. sementara WE TV, IQIYI bisa tuh.",1,10/13/2025 21:15
Itachi Akatsuki,jelek harus bebayar,1,10/13/2025 19:10
Ahmad Rivaldi,tolong reffund saldo yang di sedot secara tiba-tiba,2,10/13/2025 18:17
Zena Cell,Netflix bagus 👍,5,10/13/2025 15:25
Alimuddin Alimuddin,netflix ribet amat daftar ny,1,10/13/2025 15:11
Wen Salindra,"ga jelas ni apk, udah siap Downloadterus ufah buat akun eh malah di suruh perbaharaui ini itu lah apa lah, udah siap itu nanti enta apa lagi, mending saya uninstal aja lah",1,10/13/2025 14:45
akrom resa_,buruk,1,10/13/2025 12:26
Metal Coker,"film nya gak banyak menarik.. gak seru... pencarian gak pernah ada, kurang lengkap film nya , film hilang baru setahun... payah, sia sia bayar",1,10/13/2025 12:02
Riska Nauly Rambe,"jelek bgt, rugi berlangganan sama Netflix!!!",1,10/13/2025 11:57
Am Mod,"uang saya kesedot sendiri, padahal gaada niat langganan, mohon kembalikan uang saya",1,10/13/2025 9:53
Kurniawan Dian,konten anak berisi lgbt,1,10/13/2025 8:15
Nila Cristanti,"tolong ya ini saya sudah berlangganan baru 3 hari tiba-tiba tidak dapat connect to netflix, coba contact cs disuruh coba hapus penyimpanan pada settingan aplikasi namun ketika dicoba login kembali malah tidak bisa selalu terjadi kesalahan. saya coba dari TV juga tidak bisa. Gimana ini???",4,10/13/2025 7:46
25-Rivaldo syaifullah,"Yang terhormat pembuat aplikasi, saya sudah berhenti Langganan tapi saldo uang saya tersedot oleh aplikasi ini, ada bukti pembayaran juga dalam aplikasi, apakah boleh saya mengajukan pengembalian? karena saya juga tidak menginstal aplikasi ini dan tidak jadi berlangganan juga",1,10/13/2025 5:51
Erwin Tanaya,ingin stop langganan,1,10/13/2025 0:48
Ida 123,gak lengkap dan sudah login dan susah masuk ke dalam apk ini,1,10/12/2025 23:37
Riski Akbar,nyedot uang dengan sendirinya,1,10/12/2025 23:10
Afriani AFRIANI,"kebanyakan loading, padahal sinyal ok nonton yt fb atau yg lain lancar2 aja, lama2 bikin kesal",1,10/12/2025 21:51
On Bold,"saran saya sebelum langganan dengan Netflix ada baiknya lihat ulasan orang lain terlebih dahulu,,saya menyesal berlangganan dengan Netflix,, sangat kecewa",1,10/12/2025 20:51
Telur Kambing Hitam,download tinggal 3% ga beres mulu,1,10/12/2025 19:48
Krisman Batubara,mantap,5,10/12/2025 17:36
Andika,"males banget ngentottt, mau batalin aja ga mau",1,10/12/2025 16:42
sat ria,ku blacklist apl ini dari hidupku,1,10/12/2025 14:33
putu widiantara,ribet settingan ke smart tv,4,10/12/2025 11:45
Fina Fina,tempat nonton film yang sangat pas,4,10/12/2025 7:35
Rini Anugrah86,bagus banget,5,10/12/2025 1:31
Novi Purnama Sari,Ini tidak bisa di instal di tab yaa,2,10/12/2025 0:07
Koboy Timur Raja Mars minicraft,kembalikan saldo saya. saya sudah berhenti berlangganan kenapa masih di potong.,1,10/11/2025 23:07
Mujib Syawaludin,susah masuk apalah ini aplikasi,5,10/11/2025 21:50
Rian Setiawan,udh byar gbsa dbuka taiii,1,10/11/2025 21:13
dhnti dhnti,apk terbangsat,1,10/11/2025 21:08
Nur rohman,susah,2,10/11/2025 20:35
Subhan Muhammad,mantap,5,10/11/2025 20:18
Wiwi Oktaviani,susah loginnya anjir keluar trs ga jls mana udh bayar,1,10/11/2025 19:43
Jeon “The Red Game” Bo Ram,"tiap kali pulang ke rumah harus ribet login lagi. konfirmasi sana sini. pake email , perbarui akun bla bla bla. asli tolol. bisa dipake di 4 device katanya. tapi tiap kali update harus login lagi. akhirnya netflix di rumah ga bisa dibuka kecuali gue bawa HP ini dan login ke rumah 800km jaraknya. bener bener sistem tolol.",1,10/11/2025 19:28
Nona jingga,ruk buruk,1,10/11/2025 19:08
Erna Rumsaur,🙏,5,10/11/2025 18:43
Ariq Geo,ga ada the mission impossible the final reckoning,3,10/11/2025 17:14
Ceuce Onah Marqonah,"I really don't like this application, because there are several films and dramas that are not available or not shown in this application, so it's useless to subscribe if it's not complete, for example the One Piece cartoon series is not complete, there are several episodes that are not available or not shown in this application, it's really frustrating to have to subscribe to another application... this is the same as being very detrimental, paying a lot but there is no choice of films that you",1,10/11/2025 16:44
M. Rzky.D,"apk kadang error sendiri,gabisa login,too many login attemps padahal yang login cuma gw,ke log out terus",1,10/11/2025 15:28
Vincent Anton,Luar Biasa mantap!!! Tolong tambahkan game WWE 2025 Netflix Edition di Indonesia agar saya bisa men download dan memainkannya...,5,10/11/2025 13:21
familly,tolol g bisa daftar,1,10/11/2025 12:29
Azzahra Gartini,selalu puas buat dipake maraton atau nungguin drama korea kesayangan,5,10/11/2025 11:57
Hasya Sri Hartati,menuhin meoriiiii?!?!,1,10/11/2025 9:58
afif muhni,setiap perpanjang manual macam2 masalahnya dialihkan ke opsi dompet digital lain masih sama juga applikasi apa ini,1,10/11/2025 9:44
Riz 97,"kak sya sudah daftar dan sudah bayar juga tpi pas mau masuk email malah salah kata sandi, pdahal sudah bnar lalu di suruh bayar lagi, tolong di respon cepat",1,10/11/2025 9:14
Ismiati Timin,"kenapa ya tidak bisa masuk, kata sandi benar email benarr, masuk susah banget mana udah daftar lagiiii, disuruh salin link trus TPI GK bisa masukk",1,10/11/2025 8:30
quaneisha syauqiddifa,susah login,2,10/11/2025 7:59
Muhammad Hafyalbadali,ad lgbt jir,1,10/10/2025 21:14
Dewi Mira,ribet,1,10/10/2025 20:41
Arya Nugraha Ramadhan,TERBAIK......,5,10/10/2025 20:36
Yuki Mikasa,Stop kampanye LGBT,1,10/10/2025 20:10
Poetera Fadjar,"Tolong dong kasih fitur pengaturan pilih audio dan subtitle default. kesel tiap kali nonton/lanjut episode berikutnya, audionya selalu pakai Inggris - dengan deskripsi. masa tiap ganti film atau lanjut episode berikutnya, harus ubah audionya dulu. padahal saya kan ingin selalu pakai audio aslinya dengan subtitle Indonesia.",3,10/10/2025 19:08
Ir Wandi,aplikasi buruk,1,10/10/2025 18:48
Izhar Ramadhani,maksa banget buat langganan.😡😡,1,10/10/2025 17:53
Ahmad Abdul wafi,aneh aplikasinya no telp udah bener sandi udah bener tapi gak bisa masuk emang dasar,1,10/10/2025 17:26
Jael Fery,apk sampah,1,10/10/2025 15:55
ilhamuddin Qosim,good,5,10/10/2025 11:10
MANIAC GAMEZ,please fix hp saya infinix gt 10 pro awalnya lancar semua video bisa di putar... terus tiba2 beberapa bulan kedepan harus buka tutup netflix kadang bisa kadang gk... untuk video indo pasti terjadi bug ini... udah gw reset segala macam cara seperti ganti pasword dll tetep gk bisa dan terakhir muncul terlalu banyak device yg menggunakan padahal ganti pasword lo.. dan saya berlangganan yg bisa untuk beberapa orang 4 minimal... tapi yg berdapampak hanya di hp saya sangat aneh jika itu bug tolong,2,10/10/2025 10:13
Bang Fajar,"gak bagus, sdh di bayar perbulan tapi tidak bisa login,,,. ambil aja uangnya sekalian sedekah",1,10/10/2025 10:00
mobile legends,bagus vidio vidio nya?,5,10/10/2025 6:40
I Nyoman Ronal,top,5,10/10/2025 2:11
Iman Player,film bagus,5,10/10/2025 1:08
zafranrazaq Pratama,akhirnya bisa nonton anime dengan legal,5,10/9/2025 22:29
Winda Revita Purba,video macetttttttt,1,10/9/2025 21:57
Hakuna Hatahutu,"tlong deh ya? q dah byr fiawal 54rb / bln, lah ini plah eror gak bsa byat jonton gmna ? penipuan kah ?",1,10/9/2025 20:53
Meli Sartika,"mau login aja susah amat, sinting ni apk makin lama makin buat emosi",1,10/9/2025 19:39
yucup dua,go woke go broke 👎,1,10/9/2025 19:10
nurindah sari,"duhh,, tidak bisa dibuka aplikasi nya?? walaupun udah di un&install lagi app nya...",2,10/9/2025 19:08
Cucun maryamah,opsi dongload di perangkat Windows gaada jir padahal alasan gua langganan di perangkat Windows agar nonton layar lebih besar,2,10/9/2025 18:48
Ghifarr,No LGBT,1,10/9/2025 18:40
Nur Fathiyah,"susah bgt Netflix buat di stik tv gak bisa di buka, padahal udh langganan jadi eror terus klo buka Netflix di tv",1,10/9/2025 17:22
Tessa Novitasari,tampilan Netflix sekarang jelek bgt :'(,4,10/9/2025 16:21
JOKER5758,👍,5,10/9/2025 15:49
Nay A,Kaka maaf mau info untuk kualitas Netflix ko sekarang ngga hd lagi ya ? 🙏,3,10/9/2025 13:03
Marini Ulfah,"kenapa harus ada pembatalan anggota tiba-tiba tanpa ada konfirmasi ke pelanggan. padahal ambil yang premium yg bisa 4-5 perangkat. di telp ke cust service keterangan nya ada aktivitas mencurigakan, sekarang logika nya ngapaiin ambil 5 perangkat kalau hanya 1 jaringan. sengaja ambil yg bisa 5 perangkat agar ketika kita lagi di luar tetap bisa masuk tanpa harus keluar account dari perangkat yg utama. syarat dan ketentuan nya pun terlalu banyak,ini aplikasi berbayar loh bukan gratis. mengecewakan!",1,10/9/2025 12:33
Hafidz Nugraha,tombol download kadang ilang kadang muncul,4,10/9/2025 11:39
Sri Mulyani,mantap,5,10/9/2025 11:32
Mirza Mirzaa,bagussss film nyaaa,5,10/9/2025 11:26
gita desimianto,kenapa tidak bisa daftar akun? selalu muncul perintah diperlukan pembaruan,1,10/9/2025 9:31
Moon Zheng,masa videonya gak bisa diputar loading mulu,1,10/9/2025 6:01
gallery bang ded,hari ini kenapa Netflix gak bisa login kenapa,1,10/9/2025 4:22
Regata gaming,"resolusi di handphone saya gk bisa di ubah padahal HP saya termasuk yg yg bisa menggunakan resolusi HD, dan saja juga sudah langganan paket yg bisa nonton HD tapi gk bisa pke.. jadi selagi belum bisa si ubah saya bakal kasih ranting satu",1,10/9/2025 3:46
Mr. X,"aplikasi bangke , mau buat akun aja ribet banget ngentod , kapan mau nonton nya asik ngecek email ngecek email🗿",1,10/9/2025 0:02
Farid A. Rosidy,Nggak bisa dibuka!!!,1,10/8/2025 22:56
berkah usahabersama,bagus,5,10/8/2025 22:28
yeni yulansari,susah diakses,1,10/8/2025 21:51
Fuji Setiawan,fujisetiawan,5,10/8/2025 21:25
Citra Ayu Lestari,"skrng pendaftaran masuknya emg seribet ini ya?, memperhambat bgt, jdi ga mood nonton yg ada.",2,10/8/2025 20:31
jua akbar,sangat baik untuk menonton film,5,10/8/2025 20:17
Ellya Widayanto,"mau login atau buat akun aja error mulu, gimana mau berlangganan",1,10/8/2025 20:08
Ujo,"NETFLIX INDONESIA 👎, GK lengkap sumpah udh langganan mahal""",1,10/8/2025 19:57
Dedi Kenedi Channel,Ga jln aplikasinyav,4,10/8/2025 18:56
Ipong Terupong,cuman mau daftar aja ribet banget app sebelah nggak seribet ini,1,10/8/2025 16:54
tomy nur wibowo,jangan berlangganan di netfilx nanti langganan kalian tiba tiba di batalkan tanpa keterangan yang jelas dan tidak bisa di refund!!!!!,1,10/8/2025 16:46
Alina Kustanti Khairunnisa',filmnya gak ada yg mau diliat,1,10/8/2025 16:03
larry setiawan,sudah lebih baik sekarang,3,10/8/2025 14:38
lieber 1202,ini pertama kali ikut boikot aplikasi karna film yg menghina kristen,1,10/8/2025 13:52
Bunda Aqillah,ok,5,10/8/2025 9:28
Sitompul Yuri,"aplikasi bodoh memaksa upgrade, ga jelas",1,10/8/2025 9:07
Bulanivanka,oc,5,10/8/2025 5:52
Irham Fadly,ok mantaf x la.......................,5,10/8/2025 0:04
Fakhri Rizqy,woy aplikasi pepek kau balekkan uang ku anj enak kali kau aku enggak langganan lagi kok bisa dana ku ko ambil anj,1,10/7/2025 23:31
gak penting cuk,bagaimana caranya untuk stop langganan netflix,3,10/7/2025 22:44
MNKY D LUFFY,"pas coba masuk akun google kaga bisa kocak padahal sandi udah benar , rela rela ganti sandi demi masuk eh ternyata tetap nga bisa masuk , apk sampah",1,10/7/2025 22:10
Rafka Saput,pas pengen login kayak gk jelas gitu,1,10/7/2025 21:10
puspita sari17,seruuuu banyak filem filem horor suka banget sudah mau 1 tahun langganan terus,5,10/7/2025 20:24
Israfil Phil,Alhamdulillah ada aplikasi ini bisa nonton tanpa ke bioskop heheh,5,10/7/2025 17:12
Aiza basmah Basmah,Mantep bngt,5,10/7/2025 15:57
Uzzu Kwon,"Sengaja nyelipin LGBT sama sex di setiap series baru, ga penting banget. Drakor-drakor jadi kotor banget isinya, netflix penghancur drakor...",1,10/7/2025 13:21
hakim gaming,"tolong lebih diperbanyak lagi dubbing indo nya, di anime populer film populer ataupun series populer",4,10/7/2025 13:00
jo maddie,keren Topp mantap is the best,5,10/7/2025 12:15
Afifah Ayu,"udah daftar kok tetep gabisa masuk, disuruh tempel link dibrowser atau apa itu, yg dimksd itu apa ya?ad yg tau kh?, kesel bgt dicoba berkali² ttp begitu",1,10/7/2025 10:57
Dennis Tri,oke,5,10/7/2025 7:28
Konan Kalsa,good,5,10/6/2025 21:33
Abu Fatih,Cancel Netflix for the health of your kids,1,10/6/2025 20:52
Dian Agung Simatupang,"Halo selamat malam admin, untuk anime ONE PIECE, episode 751-1088 kenapa tidak ada ya? Mohon ditanggapi, terima kasih🙏",1,10/6/2025 20:15
Nadya Dwi lestari,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,1,10/6/2025 18:18
Ali Tolip,Payah gak bisa dibuka percuma di donload,1,10/6/2025 18:05
Namira Ilyas,good,5,10/6/2025 17:45
Infinix Hijau,kualitas flimnya bagus sekali,5,10/6/2025 17:12
Zufarpolo Zura,Gpp bagus aja😊,5,10/6/2025 17:06
Jesriman si,sudah berhenti berlangganan masih aja saldo sya dikuras,1,10/6/2025 15:46
DIKI 5529B,"Assalamu'alaikum. Kpd yg terhormat aplikasi netflix. Aplikasi satu satu nya yg sangat jelek. Begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga Indonesia yg kurang mampu. Ngapain di buat aplikasi sejelek ini. Saya sangat kecewa.",1,10/6/2025 15:11
riyanti 27,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid Mulu,1,10/6/2025 14:20
Elly Ezra,netflix seru yang drama,5,10/6/2025 14:10
Hera Yunata,Mantap,5,10/6/2025 12:47
Martin,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk",1,10/6/2025 12:46
M. Rifki Ferdiansyah,"Tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya",5,10/6/2025 10:58
Habiburrahman Elshirazyyy,"aneh banget, tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix, saya tidak pernah pakai netflix, tidak punya akun, kenapa saldo saya bisa terpotong tiba tiba, ANEH BANGET",1,10/6/2025 10:12
Alpian,jangan download aplikasi ngk jelas,1,10/6/2025 7:00
Garou Toriyama,trash streaming,1,10/6/2025 6:34
Dina maulana,ok,5,10/6/2025 6:00
Zeefanya Bellia Qeeran Prayogo,bagus aja,5,10/5/2025 23:25
Alfaqir lukman bin Tatang,mudah dan update vidionya,5,10/5/2025 20:07
roihan 01,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,4,10/5/2025 20:03
Mochamad Rudiasnawan,ok,5,10/5/2025 18:54
Qfficialyari _STeh,"Disuruh bayar ., Daftar aja suruh bayar. Gw kira ada yang free watch.",1,10/5/2025 18:26
Willbrordus Wolo domaking,tolong tambahkan film detective Conan terbaru,5,10/5/2025 16:46
Zila Zila,Aplikasinya jelek banget lebih bagus aplikasi sebelah(tahu kah aplikasi mana) aku lebih suka aplikasi sebelah dari pada aplikasi ini!👎,1,10/5/2025 16:22
Ikbal Nazrul,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,4,10/5/2025 16:16
Albert Horman,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi GK ada di Netflix tapi sudah bagus film filmnya juga berkualitas,5,10/5/2025 15:42
Faisal ASEPZz,sumpah bener bener nggaa wor it daftar nya suruh bayar,1,10/5/2025 15:31
Klarisa anesti Indah S,kecewa banget udah daftar udah bayar malah ga bisa log in alasan gangguan terus,1,10/5/2025 14:20
Jamal Uddin,netflix sangat menyenangkan,5,10/5/2025 14:06
Sari Winata,"udah berlangganan 1080p, kualitasnya masih jelek aja eek",1,10/5/2025 14:02
GM ADDICTED BOOK,susah,1,10/5/2025 13:50
Warung Hp,"dulu ga da bayar apa pun kecuali VIP, ini di harus kan walau bukan member VIP , g guna .. duit duit Mulu kalian heran gw..",1,10/5/2025 12:47
Tang chanel,"saya juga download masuknya sulit sekali hrs email,email dah g bisa kepake padahal mau nonton aja ribet... uninstall deh",1,10/5/2025 12:41
Frenly,BURUKKK,1,10/5/2025 10:54
Andi Husaini,very god,5,10/5/2025 10:45
Indri Mahawira,jelek,1,10/5/2025 9:48
Nuril Rohman,✌️👍,5,10/5/2025 7:16
Anissa kiren,setiap mau nonton ko loading terus ya aneh,1,10/5/2025 5:50
Aprili April,makasih Netflix sangat mempermudah untuk nonton drakor,5,10/5/2025 5:10
Ilham Ramadhan,pembayaran jangan Oto debit Shopee dong!! menyusahkan.ubah pembayaran Via Shopee jadi manual!!!!,1,10/5/2025 1:34
A Haigal Wiriawan,gabisa nonton saya,1,10/5/2025 0:56
Indra Saputra,"ini maksudnya apa? kenapa pembayaran nya langsung ambil uang saya di dana? tanpa ada minta verifikasi atau konfirmasi? saya jga punya kebutuhan lain, saya belum bayar kalau blum terpenuhi kebutuhan lain, aplikasi kurang ajar memang kau",1,10/5/2025 0:02
Amalia Zean,"udah bayar, tp klo nonton dihp jadi ky ancur gt, mana ngeglitch lagi.",3,10/4/2025 22:03
Rereee,apaan ni gabisa login pdhal Gmail sama sandi dah bener,2,10/4/2025 21:38
Nova Hero,tidak bisa login,1,10/4/2025 21:01
Taufik kurniawan,"login bayar ga masuk2,parah sitemnya",1,10/4/2025 20:21
Prov Jogja,pliss Netflix tambah kan banyak lagi film dan jangan sampai menjadi film bajakan gratis di google,3,10/4/2025 18:19
Qamarul S,this is your own Fault realize what mistake you are,1,10/4/2025 17:29
Mohlani,"CV ke""x AA",4,10/4/2025 17:05
zae 69,tolonglah jangan pembayaran jangan otomatis,4,10/4/2025 17:02
Lia Veronika,Netflix kenapa di smart TV gak bisa kebuka?,2,10/4/2025 16:28
kanaya salsa,aplikasi gajelas orang mau nonton aja dipersulit login nya gw saranin kalo mau pake apk ini jangan mau yah lebih baik cari apk yang lain aja,1,10/4/2025 16:11
Grivano Gilang Restandy,bagus,5,10/4/2025 16:07
dara Putri,kodenya Netflix tidak dikasih jadi nggak bisa masuk gimana coba ini aplikasi masa nggak kasih kodenya 👎👎👎👎👎,1,10/4/2025 15:05
Permanaa Rezi,"Sudah berhenti berlangganan tapi tetep saja uang di rekening ke ambil,, gajelas orang udah berhenti tapi masih tetep ngambil aja udah kaya nyolong",1,10/4/2025 13:03
Julia Lia,"SUSAH SEKALI UNTUK DAFTAR DI APLIKASI INI, AKU HARUS MEMBAYAR APLIKASI ITU!!!! PADAHAL NAMA EMAIL KU SUDAH BENAR TAPI TETAP SAJA TIDAK BISA!!!",1,10/4/2025 11:35
Ferdy Yohanes,Ok,5,10/4/2025 11:18
Imam Safiq,"login gagal terus, padahal itu akun utama saya. mana skrg gak bisa masuk gara² keseringan login. sia² isi paket netflix. buang² uang aja!",1,10/4/2025 9:42
Yoga Hadi,jangan donlod kita termasuk nya du peraas!,5,10/4/2025 4:05
Abi,gambarnya brebek gak jelas percuma langganan padahal udah support wifi tetep aja gambarnya brebekkk kaya kaset kusut gak recommen banget.,1,10/4/2025 2:58
Cupang Cupang,"very good.. can watch movies with family, it's just that there are too few movies, sometimes the movies we are looking for are mostly not available. we ask that more be provided so that we can enjoy all the movies we want to see. thank you.",4,10/4/2025 0:16
Leonardo Chen,Netflix buat semua orang jadi terpengaruh Krn aplikasi Netflix TDK mungkin membuat bahagia kebanyakan Indonesia rata rata semua saya gak tertarik mohon tolong di hapus aplikasi ini biar orang gak nonton lagi 😠😠😠😠😠😠😠😠😠😠😠😠😠,1,10/3/2025 21:51
Ahmad Nurhaq,daftar akun sangat rumit aplikasi tidak bagus,1,10/3/2025 21:31
Indivara Indivara,g bisa login on ol,1,10/3/2025 20:42
rozaq luqman,oke,5,10/3/2025 19:32
Armi Kartika,apa2n sih netflix.. udh isi langganan malah kluar sndiri ga jelas g bisa masuk,1,10/3/2025 18:40
Firaa Dzafiraa,oke,5,10/3/2025 17:23
Gideon Dolly Lembang,huuuuuu banyak agenda LGBT nya 🤢 🤮,1,10/3/2025 14:59
Oni Pertma,parah padahal aku sudah berhenti berlangganan tiba tiba dana ke sedot secara otomatis..padahal apk sudah di hapus. jadi terpaksa download lagi gara gara saldo ke potong otomatis heemm,2,10/3/2025 14:33
Via. JM,padahal udh gak langganan tapi ttp aja saldo kita di potong seenaknya kesel banget,2,10/3/2025 13:05
sonia ayu,eror,1,10/3/2025 12:59
Ira Lativah,ribet,1,10/3/2025 11:40
Ipan Pos,Oke,5,10/3/2025 10:01
Wahyu Aimita,tidak bisa memutar filmnya.muncul kesalahan e100 terus.di tab atau hp juga aplikasinya tidak bisa di update.parah sudah bayar langganan dengan langkah2 yg ribet hasilnya ga bisa diputar filmnya semua.nyesel langganan,1,10/3/2025 9:46
Gunowidjojo,nyesel daftar + bayar.. film nya ga lengkap.. aplikasi nipu,1,10/3/2025 7:54
Lilya Jsf,Kesel banget sama Netflix film bagus eh di cut off gk dilanjut seasonnya.... banyak bgt malah. klian tuh liat rating dr orng yg nonton donk.. klo rating bagus ya lanjutin jangan berdasarkan quantity... kadang ada season 2 yg pertama gk ada. yg ada aq cari di applikasi lain yg pertama dan mending lanjut nonton disana.....,1,10/3/2025 6:47
alat kantor kursi murah,di coba semoga lancar,3,10/3/2025 5:14
Eko Prasatriyo,saya ingin berhenti langganan gimana yah ka caranya soalnya saya enggak pernah merasa berlangganan tapi tiba² saja ada notice di dana saya potongan untuk topup Netflix.. tolong dong ka kasih tau caranya saya mau berhenti berlangganan,1,10/3/2025 0:24
faizalelvan,kaga jelas anj kaga bisa login nih Netflix perbaiki dong developer,1,10/2/2025 22:31
SUGENG PRAPTIONO,Opsional,5,10/2/2025 21:21
Hiroki Matsumoto,dubbing Indonesia harus semua acara harus masa dubbing ada 2 suara asli sama suara dubbing,1,10/2/2025 20:16
Papa Americano Channel,aplikasi lol gak berlangganan malah potong saldo dana,1,10/2/2025 19:50
Cak SlentheM Tube,ssiiiippp,5,10/2/2025 19:19
Karmila,aplikasi taiii,1,10/2/2025 19:16
ARYANDI APRIAN,the best,5,10/2/2025 17:46
hendy satya,aneh suruh donload2 trus padahal gk gratisan,1,10/2/2025 17:14
muslihin lihin,ga bisa login!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,10/2/2025 16:56
Muhamad Alfin Alfiansyah,cancel Netflix for health your kids,1,10/2/2025 16:25
sukun 12,canceled netflix,1,10/2/2025 15:30
